question_text,answer_options,correct_answer,category,difficulty,explanation,tags
¿Cuál es la capital de Francia?,"[""París"", ""Londres"", ""Madrid"", ""Roma""]",París,Geografía,easy,París es la capital y ciudad más poblada de Francia desde el siglo X.,"europa,capitales,geografía"
¿Quién escribió 'Don Quijote de la Mancha'?,"[""Miguel de Cervantes"", ""Gabriel García Márquez"", ""Jorge Luis Borges"", ""Pablo Neruda""]",Miguel de Cervantes,Literatura,easy,Miguel de Cervantes Saavedra escribió Don Quijote de la Mancha en 1605.,"literatura,clásicos,españa"
¿Cuál es el resultado de 2 + 2?,"[""3"", ""4"", ""5"", ""6""]",4,Matemáticas,easy,La suma de 2 + 2 es igual a 4.,"matemáticas,aritmética,básico"
¿En qué año llegó Cristóbal Colón a América?,"[""1492"", ""1500"", ""1520"", ""1600""]",1492,Historia,medium,Cristóbal Colón llegó a América el 12 de octubre de 1492.,"historia,américa,descubrimiento"
¿Cuál es el planeta más grande del sistema solar?,"[""Tierra"", ""Marte"", ""Júpiter"", ""Saturno""]",Júpiter,Ciencias,easy,Júpiter es el planeta más grande del sistema solar con un diámetro de aproximadamente 142.984 km.,"astronomía,planetas,ciencia"
¿Qué gas es esencial para la respiración humana?,"[""Nitrógeno"", ""Oxígeno"", ""Dióxido de carbono"", ""Hidrógeno""]",Oxígeno,Ciencias,easy,El oxígeno (O₂) es el gas esencial que los humanos necesitan para respirar.,"biología,respiración,ciencia"
¿Quién pintó 'La Mona Lisa'?,"[""Leonardo da Vinci"", ""Pablo Picasso"", ""Vincent van Gogh"", ""Diego Velázquez""]",Leonardo da Vinci,Arte,medium,Leonardo da Vinci pintó La Mona Lisa entre 1503 y 1519.,"arte,pintura,renacimiento"
¿Cuántos continentes hay en el mundo?,"[""5"", ""6"", ""7"", ""8""]",7,Geografía,easy,Hay 7 continentes: África, América del Norte, América del Sur, Antártida, Asia, Europa y Oceanía.,"geografía,continentes,mundo"
¿Qué es el HTML?,"[""Un lenguaje de programación"", ""Un lenguaje de marcado"", ""Una base de datos"", ""Un sistema operativo""]",Un lenguaje de marcado,Tecnología,medium,HTML (HyperText Markup Language) es un lenguaje de marcado utilizado para crear páginas web.,"programación,web,tecnología"
¿Cuál es la velocidad de la luz?,"[""300.000 km/s"", ""150.000 km/s"", ""450.000 km/s"", ""600.000 km/s""]",300.000 km/s,Física,hard,La velocidad de la luz en el vacío es aproximadamente 299.792.458 metros por segundo (≈300.000 km/s).,"física,luz,ciencia"
