question_text,answer_options,correct_answer,category,difficulty,explanation,tags
¿Qué es una función lambda en Python?,"[""Una función anónima"", ""Una función recursiva"", ""Una función asíncrona"", ""Una función decoradora""]",Una función anónima,Programación,hard,"Las funciones lambda en Python son funciones anónimas definidas con la palabra clave 'lambda', útiles para operaciones simples.","python,programación,funciones"
¿Cuál es la complejidad temporal del algoritmo QuickSort en el peor caso?,"[""O(n)"", ""O(n log n)"", ""O(n²)"", ""O(log n)""]",O(n²),Algoritmos,expert,"En el peor caso (lista ya ordenada), QuickSort tiene complejidad O(n²), aunque en promedio es O(n log n).","algoritmos,complejidad,ordenamiento"
¿Qué teorema establece que en un triángulo rectángulo el cuadrado de la hipotenusa es igual a la suma de los cuadrados de los catetos?,"[""Teorema de Pitágoras"", ""Teorema de Tales"", ""Teorema de Fermat"", ""Teorema de Euclides""]",Teorema de Pitágoras,Matemáticas,medium,El teorema de Pitágoras (a² + b² = c²) es fundamental en geometría y fue formulado por el matemático griego Pitágoras.,"geometría,matemáticas,teoremas"
¿Qué patrón de diseño asegura que una clase tenga solo una instancia?,"[""Singleton"", ""Factory"", ""Observer"", ""Strategy""]",Singleton,Diseño de Software,hard,El patrón Singleton garantiza que una clase tenga una única instancia y proporciona un punto de acceso global a ella.,"patrones,diseño,software"
¿Cuál es el principio SOLID que establece que las clases deben estar abiertas para extensión pero cerradas para modificación?,"[""Open/Closed Principle"", ""Single Responsibility Principle"", ""Liskov Substitution Principle"", ""Interface Segregation Principle""]",Open/Closed Principle,Ingeniería de Software,expert,El Open/Closed Principle (OCP) es uno de los cinco principios SOLID que mejoran el diseño orientado a objetos.,"solid,principios,arquitectura"
¿Qué estructura de datos usa LIFO (Last In First Out)?,"[""Stack"", ""Queue"", ""Array"", ""Hash Table""]",Stack,Estructuras de Datos,medium,"Un Stack (pila) es una estructura de datos que sigue el principio LIFO, donde el último elemento insertado es el primero en salir.","estructuras,datos,stack"
¿Qué protocolo se utiliza para transferir archivos de forma segura sobre SSH?,"[""SFTP"", ""FTP"", ""HTTP"", ""SMTP""]",SFTP,Redes,hard,SFTP (SSH File Transfer Protocol) es un protocolo de red que proporciona acceso a archivos y transferencia de archivos sobre SSH.,"redes,protocolos,seguridad"
¿Qué es la normalización en bases de datos?,"[""Proceso de organizar datos para reducir redundancia"", ""Proceso de hacer backup"", ""Proceso de encriptar datos"", ""Proceso de indexar tablas""]",Proceso de organizar datos para reducir redundancia,Bases de Datos,medium,La normalización es el proceso de organizar datos en una base de datos para reducir redundancia y dependencias.,"bases-de-datos,normalización,diseño"
¿Qué significa REST en el contexto de APIs?,"[""Representational State Transfer"", ""Remote Execution Service Transfer"", ""Rapid Execution State Transfer"", ""Real-time Execution Service Transfer""]",Representational State Transfer,Arquitectura Web,medium,REST es un estilo arquitectónico para diseñar servicios web que utiliza HTTP y sus métodos de manera semántica.,"api,rest,web"
¿Cuál es la diferencia entre '==' y '===' en JavaScript?,"[""'==' compara valores, '===' compara valores y tipos"", ""Son exactamente iguales"", ""'===' es más lento"", ""'==' no existe en JavaScript""]","'==' compara valores, '===' compara valores y tipos",JavaScript,hard,"'==' realiza coerción de tipos antes de comparar, mientras que '===' compara tanto el valor como el tipo sin coerción.","javascript,operadores,comparación"
¿Qué es Docker?,"[""Una plataforma de contenedores"", ""Un lenguaje de programación"", ""Una base de datos"", ""Un framework web""]",Una plataforma de contenedores,DevOps,medium,Docker es una plataforma de código abierto para desarrollar, enviar y ejecutar aplicaciones en contenedores.,"docker,contenedores,devops"
¿Qué es la inyección de dependencias?,"[""Un patrón de diseño para gestionar dependencias"", ""Un tipo de ataque de seguridad"", ""Una técnica de optimización"", ""Un método de testing""]",Un patrón de diseño para gestionar dependencias,Diseño de Software,hard,La inyección de dependencias es un patrón de diseño que permite que las dependencias de un objeto sean inyectadas en lugar de creadas internamente.,"patrones,dependencias,diseño"
¿Qué comando de Git se usa para deshacer el último commit manteniendo los cambios?,"[""git reset --soft HEAD~1"", ""git revert HEAD"", ""git reset --hard HEAD~1"", ""git checkout HEAD~1""]",git reset --soft HEAD~1,Control de Versiones,hard,"'git reset --soft HEAD~1' deshace el último commit pero mantiene los cambios en el staging area, listo para un nuevo commit.","git,control-versiones,comandos"
¿Qué es el Big O notation?,"[""Una notación para describir complejidad algorítmica"", ""Un tipo de variable"", ""Un operador matemático"", ""Un patrón de diseño""]",Una notación para describir complejidad algorítmica,Algoritmos,medium,Big O notation es una notación matemática que describe el comportamiento límite de una función cuando el argumento tiende a infinito.,"algoritmos,complejidad,notación"
¿Cuál es el puerto por defecto de PostgreSQL?,"[""5432"", ""3306"", ""1433"", ""27017""]",5432,Bases de Datos,medium,PostgreSQL utiliza el puerto 5432 por defecto para las conexiones de clientes.,"postgresql,bases-de-datos,puertos"
